start_elapsed,end_elapsed,mid_event_time,duration_minutes,post_break,spurs_points,knicks_points,spurs_ppm,knicks_ppm
0.0,0.3333333333333357,-26.166666666666668,0.3333333333333357,0,2,0,5.999999999999957,0.0
0.3333333333333357,0.8333333333333357,-25.75,0.5,0,0,2,0.0,4.0
0.8333333333333357,1.3333333333333357,-25.25,0.5,0,5,0,10.0,0.0
1.3333333333333357,1.8333333333333357,-24.75,0.5,0,0,0,0.0,0.0
1.8333333333333357,2.3333333333333357,-24.25,0.5,0,0,0,0.0,0.0
2.3333333333333357,2.8333333333333357,-23.75,0.5,0,5,0,10.0,0.0
2.8333333333333357,3.3333333333333357,-23.25,0.5,0,0,3,0.0,6.0
3.3333333333333357,3.8333333333333357,-22.75,0.5,0,2,2,4.0,4.0
3.8333333333333357,4.333333333333336,-22.25,0.5,0,0,3,0.0,6.0
4.333333333333336,4.833333333333336,-21.75,0.5,0,2,0,4.0,0.0
4.833333333333336,5.333333333333336,-21.25,0.5,0,3,0,6.0,0.0
5.333333333333336,5.833333333333336,-20.75,0.5,0,3,0,6.0,0.0
5.833333333333336,6.333333333333336,-20.25,0.5,0,3,2,6.0,4.0
6.333333333333336,6.833333333333336,-19.75,0.5,0,0,2,0.0,4.0
6.833333333333336,7.333333333333336,-19.25,0.5,0,2,3,4.0,6.0
7.333333333333336,7.833333333333336,-18.75,0.5,0,3,0,6.0,0.0
7.833333333333336,8.333333333333336,-18.25,0.5,0,0,0,0.0,0.0
8.333333333333336,8.833333333333336,-17.75,0.5,0,2,0,4.0,0.0
8.833333333333336,9.333333333333336,-17.25,0.5,0,0,2,0.0,4.0
9.333333333333336,9.833333333333336,-16.75,0.5,0,2,1,4.0,2.0
9.833333333333336,10.333333333333336,-16.25,0.5,0,1,0,2.0,0.0
10.333333333333336,10.833333333333336,-15.75,0.5,0,0,0,0.0,0.0
10.833333333333336,11.333333333333336,-15.25,0.5,0,4,0,8.0,0.0
11.333333333333336,11.833333333333336,-14.75,0.5,0,2,2,4.0,4.0
11.833333333333336,12.333333333333336,-14.25,0.5,0,0,0,0.0,0.0
12.333333333333336,12.833333333333336,-13.75,0.5,0,3,3,6.0,6.0
12.833333333333336,13.333333333333336,-13.25,0.5,0,4,0,8.0,0.0
13.333333333333336,13.833333333333336,-12.75,0.5,0,0,3,0.0,6.0
13.833333333333336,14.333333333333336,-12.25,0.5,0,3,2,6.0,4.0
14.333333333333336,14.833333333333336,-11.75,0.5,0,3,0,6.0,0.0
14.833333333333336,15.333333333333336,-11.25,0.5,0,3,2,6.0,4.0
15.333333333333336,15.833333333333336,-10.75,0.5,0,0,0,0.0,0.0
15.833333333333336,16.333333333333336,-10.25,0.5,0,2,2,4.0,4.0
16.333333333333336,16.833333333333336,-9.75,0.5,0,0,0,0.0,0.0
16.833333333333336,17.333333333333336,-9.25,0.5,0,0,0,0.0,0.0
17.333333333333336,17.833333333333336,-8.75,0.5,0,0,4,0.0,8.0
17.833333333333336,18.333333333333336,-8.25,0.5,0,3,0,6.0,0.0
18.333333333333336,18.833333333333336,-7.75,0.5,0,0,0,0.0,0.0
18.833333333333336,19.333333333333336,-7.25,0.5,0,2,2,4.0,4.0
19.333333333333336,19.833333333333336,-6.75,0.5,0,2,0,4.0,0.0
19.833333333333336,20.333333333333336,-6.25,0.5,0,3,2,6.0,4.0
20.333333333333336,20.833333333333336,-5.75,0.5,0,0,0,0.0,0.0
20.833333333333336,21.333333333333336,-5.25,0.5,0,2,1,4.0,2.0
21.333333333333336,21.833333333333336,-4.75,0.5,0,0,3,0.0,6.0
21.833333333333336,22.333333333333336,-4.25,0.5,0,0,1,0.0,2.0
22.333333333333336,22.833333333333336,-3.75,0.5,0,2,2,4.0,4.0
22.833333333333336,23.333333333333336,-3.25,0.5,0,3,0,6.0,0.0
23.333333333333336,23.833333333333336,-2.75,0.5,0,0,0,0.0,0.0
23.833333333333336,24.333333333333336,-2.25,0.5,0,0,0,0.0,0.0
24.333333333333336,24.833333333333336,-1.75,0.5,0,0,0,0.0,0.0
24.833333333333336,25.333333333333336,-1.25,0.5,0,0,3,0.0,6.0
25.333333333333336,25.833333333333336,-0.75,0.5,0,3,0,6.0,0.0
25.833333333333336,26.333333333333336,-0.25,0.5,0,2,0,4.0,0.0
26.333333333333336,26.833333333333336,0.25,0.5,1,0,2,0.0,4.0
26.833333333333336,27.333333333333336,0.75,0.5,1,0,2,0.0,4.0
